date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:16:52	2064/2064	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2025%20Nov%202024%2001:16:53%20UTC	https://www.indigenousoutsiders.com/%22//cdn.embedly.com/widgets/media.html?src=https%3A%2F%2Fmomento360.com%2Fe%2Fu%2Fdbbc0b8d047f4b4a80263914fbad1670%3Futm_campaign%3Dembed%26utm_source%3Dother%26heading%3D0%26pitch%3D0%26field-of-view%3D75%26size%3Dmedium&display_name=momento360&url=https%3A%2F%2Fmomento360.com%2Fe%2Fu%2Fdbbc0b8d047f4b4a80263914fbad1670%3Futm_campaign%3Dembed%26utm_source%3Dother%26heading%3D0%26pitch%3D0%26field-of-view%3D75%26size%3Dmedium&image=https%3A%2F%2Fproduction-cdn.momento360.com%2Fe%2Fu%2Fdbbc0b8d047f4b4a80263914fbad1670%2Fsphere%2Fpreview&key=c6502efcb3c84824bc6c1f27d683be13&type=text%2Fhtml&schema=momento360\%22	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/www.indigenousoutsiders.com/_/cdn.embedly.com/widgets/media.181680c.delayed	(from https://www.indigenousoutsiders.com/-chao)
20:16:54	201711/201711	---M--	200	added ('OK')	image/jpeg	etag:CLjAt+LvxOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528643948242-6ZO6QZI50ESKFJXVKCCR/CHVANA_Floorplans+1-200+copy.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528643948242-6ZO6QZI50ESKFJXVKCCR/CHVANA_Floorplans+1-200+copy.jpg	(from https://www.indigenousoutsiders.com/-chvana)
20:16:55	3714441/3714441	---M--	200	added ('OK')	image/jpeg	etag:CN2GgdmSyOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528223313460-8KU41NDMOPPDAFB2065B/Chvana_Drone.JPG	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528223313460-8KU41NDMOPPDAFB2065B/Chvana_Drone.jpg	(from https://www.indigenousoutsiders.com/-chvana)
20:16:55	434911/434911	---M--	200	added ('OK')	image/jpeg	etag:CKuK8N/vxOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528223832052-Z3JZUYOD2UYL5JXGQNWV/Dghvani_Floorplans.JPG	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528223832052-Z3JZUYOD2UYL5JXGQNWV/Dghvani_Floorplans.jpg	(from https://www.indigenousoutsiders.com/-dghvani)
20:16:55	145196/145196	---M--	200	added ('OK')	image/jpeg	etag:CJbqh5WSyOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528644255067-54PB22SHNZNXXKUPBCRJ/Gegelidzeebi+Floorplans.JPG	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528644255067-54PB22SHNZNXXKUPBCRJ/Gegelidzeebi+Floorplans.jpg	(from https://www.indigenousoutsiders.com/-gegelidzeebi)
20:16:55	2041441/2041441	---M--	200	added ('OK')	image/jpeg	etag:CJKux+LvxOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528223809040-U1E3EQI3YG78TIJJEFB5/Dghvani+Drone.JPG	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528223809040-U1E3EQI3YG78TIJJEFB5/Dghvani+Drone.jpg	(from https://www.indigenousoutsiders.com/-dghvani)
20:17:05	258914/258914	---M--	200	added ('OK')	image/jpeg	etag:CNvFyKnuxOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528645082209-IA9DBRQJ7HPMA6DTB1S1/Ghorjomi_Ground+Floor+1-200+copy.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528645082209-IA9DBRQJ7HPMA6DTB1S1/Ghorjomi_Ground+Floor+1-200+copy.jpg	(from https://www.indigenousoutsiders.com/-ghorjomi)
20:17:05	308411/308411	---M--	200	added ('OK')	image/jpeg	etag:CL/1leLvxOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528645107493-J6YR9U6C319PZC5Q8TG3/GHORJOMI+DOMES+copy.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528645107493-J6YR9U6C319PZC5Q8TG3/GHORJOMI+DOMES+copy.jpg	(from https://www.indigenousoutsiders.com/-ghorjomi)
20:17:05	139359/139359	---M--	200	added ('OK')	image/jpeg	etag:CNjhgJOSyOsCEAE=	https://images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528645264600-Q7E7Z4V8GZMF2QBIVM17/GOGINAURI_Floorplans+1-200.jpg	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/images.squarespace-cdn.com/content/v1/590b8551d2b857ec8b6a8fe6/1528645264600-Q7E7Z4V8GZMF2QBIVM17/GOGINAURI_Floorplans+1-200.jpg	(from https://www.indigenousoutsiders.com/-goginauri)
20:17:05	2064/2064	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2025%20Nov%202024%2001:17:06%20UTC	https://www.indigenousoutsiders.com/%22//cdn.embedly.com/widgets/media.html?src=https%3A%2F%2Fmomento360.com%2Fe%2Fu%2Fab3349bae9ef48e58bebf20e8acbd3f5%3Futm_campaign%3Dembed%26utm_source%3Dother%26heading%3D0%26pitch%3D0%26field-of-view%3D75%26size%3Dmedium&display_name=momento360&url=https%3A%2F%2Fmomento360.com%2Fe%2Fu%2Fab3349bae9ef48e58bebf20e8acbd3f5%3Futm_campaign%3Dembed%26utm_source%3Dother%26heading%3D0%26pitch%3D0%26field-of-view%3D75%26size%3Dmedium&image=https%3A%2F%2Fproduction-cdn.momento360.com%2Fe%2Fu%2Fab3349bae9ef48e58bebf20e8acbd3f5%2Fsphere%2Fpreview&key=61d05c9d54e8455ea7a9677c366be814&type=text%2Fhtml&schema=momento360\%22	D:/Dropbox%20(Personal)/Data/webiste_mirrors/indigeneous_outsiders/www.indigenousoutsiders.com/_/cdn.embedly.com/widgets/media.18be06e.delayed	(from https://www.indigenousoutsiders.com/-goginauri)
